"Story","Title","Result","Date","Stability","Duration (s)"
"Product test","This test will get all product information ","SUCCESS","2020-05-27T21:56:18.119+01:00[Europe/London]","0.0","4.93"
"Stores test","This test will get all product information ","SUCCESS","2020-05-27T21:56:28.050+01:00[Europe/London]","0.0","0.36"
